Date,23/10/2018,23/10/2018,23/10/2018,19/10/2018,19/10/2018,19/10/2018,19/10/2018,19/10/2018,19/10/2018,19/10/2018,18/10/2018
CodeBase,2019117,2231094,12329,12328,2019116,2231093,1212172,2019028,2019114,12325,1187263
Results,,,,,,,,,,,
[PMILL-7945] - <1: Load Project>,0:00:33,0:00:31,0:00:31,0:00:31,0:00:31,0:00:32,0:00:58,0:00:28,00:00:31,00:00:31,00:00:23
[PMILL-7945] - <2: Save Project>,0:00:14,0:00:14,0:00:13,0:00:13,0:00:14,0:00:14,0:00:13,0:00:14,00:00:14,00:00:13,00:00:12
[PMILL-7945] - <3: Calculate Stock Model States>,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:01,0:00:02,00:00:01,00:00:01,00:00:01
[PMILL-7945] - <4: Calculate Stock Model States>,0:00:49,0:00:43,0:00:45,0:00:45,0:00:49,0:00:46,0:00:50,0:00:47,00:00:49,00:00:44,00:00:40
[PMILL-7945] - <5: Calculate Stock Model States>,0:02:55,0:02:45,0:02:42,0:02:41,0:02:56,0:02:49,0:03:03,0:02:52,00:02:54,00:02:40,00:01:54
[PMILL-7945] - <6: Calculate Stock Model States>,0:00:52,0:00:47,0:00:47,0:00:47,0:00:54,0:00:50,0:00:53,0:00:50,00:00:51,00:00:48,00:00:41
[PMILL-7945] - <7: Calculate Stock Model States>,0:10:25,0:10:00,0:10:28,0:10:25,0:10:33,0:10:02,0:11:21,0:10:22,00:10:32,00:10:19,00:10:25
[PMILL-7560] - <1: Close project with large model>,0:00:05,0:00:06,0:00:05,0:00:06,0:00:05,0:00:06,0:01:54,0:01:53,00:00:06,00:00:06,00:01:47
[PMILL-Benchmark] - <1: Model Area-Clearance>,1:30:09,1:23:48,1:24:03,1:23:04,1:28:43,1:27:06,1:25:17,1:25:12,01:28:20,01:24:10,01:11:04
[PMILL-Benchmark] - <2: Raster Finishing>,0:02:30,0:02:32,0:02:34,0:02:34,0:02:32,0:02:31,0:02:41,0:02:34,00:02:32,00:02:33,00:02:32
[PMILL-Benchmark] - <3: Constant-Z Finishing>,0:11:02,0:11:11,0:10:47,0:11:02,0:10:58,0:11:08,0:11:23,0:11:04,00:11:01,00:10:49,00:10:38
[PMILL-Benchmark] - <4: 3D-Offset Finishing>,0:05:34,0:04:47,0:04:46,0:04:54,0:05:27,0:04:44,0:06:21,0:05:35,00:05:25,00:04:47,00:04:52
[PMILL-6785] - <1: Expand and select 4650 features>,0:08:19,0:00:14,0:00:14,0:00:15,0:08:17,0:00:13,0:00:14,0:08:12,00:08:12,00:00:15,00:00:19
[PMILL-6785] - <2: Close feature-heavy project>,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:03,0:00:12,0:16:09,00:00:03,00:00:03,00:00:18
[PMILL-6785] - <3: Delete large feature set>,0:08:37,0:00:04,0:00:04,0:00:04,0:08:50,0:00:04,0:00:17,0:08:16,00:08:34,00:00:04,00:00:24
[PMILL-40633] - <1: 3 Constant-Z & 3 Optimized Constant-Z>,0:54:02,0:52:52,0:52:33,0:52:23,0:53:12,0:52:43,0:55:27,0:54:01,00:53:46,00:52:29,00:40:09
[PMILL-5743] - <1: Calculate rest boundaries>,0:01:07,0:01:08,0:01:07,0:01:08,0:01:08,0:01:09,0:22:31,0:00:58,00:01:07,00:01:07,00:00:28
[PMILL-8298] - <1: Create 200 new tools>,0:00:35,0:00:37,0:00:36,0:00:36,0:00:35,0:00:38,0:02:40,0:01:44,00:00:35,00:00:37,00:03:03
[Total],3:17:52,2:52:23,2:52:19,2:51:32,3:15:48,2:55:39,3:26:16,3:31:13,03:15:33,02:52:16,02:29:50
